year,male_apps,male_vaca,female_apps,female_vaca
1919,31275.0,19193.0,29071.0,35104.0
1920,29066.0,16970.0,32019.0,35522.0
1921,95790.0,15859.0,38698.0,34114.0
1922,102023.0,21176.0,41337.0,34149.0
1923,59075.0,25640.0,42561.0,36251.0
1924,52075.0,23320.0,47795.0,39925.0
1925,45922.0,19186.0,46365.0,37368.0
1926,46209.0,19841.0,47128.0,39127.0
1927,49754.0,18475.0,48025.0,39179.0
1928,55332.0,19628.0,45615.0,37162.0
1929,57882.0,26738.0,48809.0,44961.0
1930,59942.0,25622.0,54212.0,51219.0
1931,89306.0,39704.0,54908.0,47907.0
1932,147807.0,23751.0,57449.0,37702.0
1933,218739.0,25446.0,61981.0,32416.0
1934,202072.0,37587.0,59182.0,38041.0
1935,149654.0,39503.0,59281.0,48037.0
1936,124552.0,44009.0,62987.0,54727.0
1937,115828.0,64138.0,67307.0,64187.0
1938,96693.0,46171.0,69443.0,67235.0
1939,89344.0,46852.0,69185.0,68069.0
1940,111423.0,52554.0,76508.0,59983.0
1941,148836.0,60522.0,87136.0,68483.0
1942,127302.0,63790.0,90366.0,84990.0
1943,129435.0,61300.0,90558.0,98161.0
1944,140210.0,73223.0,92454.0,104568.0
1945,178460.0,79828.0,114537.0,132247.0
1946,167655.0,107967.0,111322.0,135318.0
1947,174881.0,133125.0,106231.0,141453.0
1948,,,,
1949,177184.0,108775.0,116901.0,131955.0
1950,183764.0,142714.0,122095.0,134237.0
1951,196503.0,170305.0,117401.0,122633.0
1952,179947.0,125170.0,110757.0,112366.0
1953,185877.0,113742.0,106747.0,105398.0
1954,178665.0,138154.0,95584.0,101573.0
1955,179602.0,147989.0,86932.0,99922.0
1956,171949.0,134805.0,84532.0,90647.0
1957,158369.0,106966.0,87179.0,84998.0
1958,182910.0,108199.0,95734.0,79321.0
1959,183657.0,118310.0,94210.0,81565.0
