year,stockholm_city,stockholm_county
1749,55464,86085
1750,53502,89600
1751,55700,91399
1754,61766,93359
1757,71863,92886
1760,69211,93599
1763,72989,93237
1766,68936,95103
1769,68745,97683
1772,72444,98631
1795,75191,92776
1800,75517,96280
1805,72652,99377
1810,65474,96688
1815,72989,97345
1820,75569,97704
1825,79473,103095
1830,80621,104090
1835,82655,108098
1840,84161,110279
1845,88242,113310
1850,93070,114643
1855,97952,118056
1860,112391,121737
1865,133361,128458
1870,136016,131244
1875,152582,136582
1880,168775,147021
1885,215688,148841
1890,246454,152715
1895,271638,157457
1900,300624,172852
1905,324488,192328
1910,342323,229181
1915,392427,228230
1920,419440,243194
1925,442528,262003
1930,502213,265079
1935,534236,271284
1940,590503,287660
1945,671284,321989
1950,744143,356874
1960,808294,462720
1967,774217,648056
